ID,collection_date,longitude,latitude,days_collection
1060,2024-11-21,4017034.97439178,2947131.82232019,304
1302,2024-11-21,3987460.88146192,2938309.49824538,304
982,2024-11-22,4006837.62762644,2979875.79688357,305
999,2024-11-22,4023029.90526621,2969179.71236328,305
956,2024-11-23,4015296.32036406,2978500.1605101,306
1050,2024-11-24,4019322.14860014,2969557.51773414,307
1376,2024-11-24,3988917.98527338,2947384.53795615,307
1057,2024-11-25,3992663.226207,2971065.63447967,308
1095,2024-11-25,4036979.39056519,2957559.92157819,308
1014,2024-11-26,4020291.51393816,2951245.36957151,309
1457,2024-11-26,3983076.9367432,2947231.16160785,309
1395,2024-11-27,4028352.95346996,2955105.10015073,310
1466,2024-11-27,4000583.52299932,2979679.45440651,310
1213,2024-11-28,3997323.84850461,2939324.46254461,311
1472,2024-11-28,4002402.38630478,2975034.79929411,311
1180,2024-11-30,4000180.83248327,2940739.28237626,313
1272,2024-11-30,3982440.07804819,2941010.81790303,313
1317,2024-12-01,4000597.00533978,2978630.12891708,314
1345,2024-12-01,3984526.82321532,2942320.93777599,314
1394,2024-12-01,4014955.33691693,2944266.00753621,314
1578,2024-12-01,4020892.96707285,2981911.59735972,314
1955,2024-12-01,4003418.54130617,2974306.24540289,314
1274,2024-12-02,4028295.87489594,2957131.05321217,315
1542,2024-12-02,3993177.69161503,2972624.91601271,315
1576,2024-12-02,4014348.44940009,2983771.23883876,315
1179,2024-12-03,4016115.43733586,2984453.796901,316
1439,2024-12-03,3981368.81654142,2937748.14168693,316
1270,2024-12-04,4016432.17547779,2946604.51331787,317
1606,2024-12-04,4015832.06088749,2984976.35988838,317
1663,2024-12-04,4014126.7463167,2944593.54225415,317
1758,2024-12-04,3997469.53335556,2972978.2267632,317
1841,2024-12-04,3979246.76262335,2946210.93634598,317
1377,2024-12-05,4014950.64850227,2983698.24904254,318
1383,2024-12-05,3993293.55936235,2967674.74957046,318
1402,2024-12-05,4015562.60994788,2978179.42827666,318
1639,2024-12-05,3970738.49926861,2927035.98985462,318
1674,2024-12-05,3979699.65587785,2930988.72683507,318
2074,2024-12-05,3992444.67395602,2965312.01042243,318
2075,2024-12-06,3981222.30933802,2934250.51636743,319
1310,2024-12-08,3994767.67408199,2947564.54301045,321
1407,2024-12-08,3991801.56622476,2946856.55668249,321
1468,2024-12-09,3986790.30861104,2960353.78618794,322
1511,2024-12-09,4037566.13225421,2953483.94391261,322
1569,2024-12-09,3991289.09219726,2966950.23375292,322
1579,2024-12-09,3978293.91377447,2931487.56378304,322
1791,2024-12-09,4000408.71225703,2978261.95146172,322
1366,2024-12-10,3987519.2743025,2946742.11079695,323
1412,2024-12-10,4020444.23274621,2950898.29706824,323
1470,2024-12-10,3981559.03084286,2934097.33425251,323
1678,2024-12-10,4017944.38119799,2951909.28951064,323
1697,2024-12-10,3990004.39950088,2942666.03572536,323
1811,2024-12-10,4009057.06938188,2944576.33937942,323
1443,2024-12-11,3994973.62261246,2971592.89108013,324
1464,2024-12-11,4015083.42989093,2981850.40490341,324
1471,2024-12-11,3982736.31040551,2961772.49425424,324
1498,2024-12-11,4020064.75280027,2974949.41649897,324
1500,2024-12-11,3999499.78360856,2979789.92078441,324
1545,2024-12-11,3983788.20516482,2960824.12644011,324
1622,2024-12-11,3992270.76556471,2974106.96782019,324
1720,2024-12-11,4016746.19197671,2951275.00856906,324
1795,2024-12-11,3993643.89431141,2971344.21433389,324
1812,2024-12-11,3985870.80542354,2959343.64004614,324
2067,2024-12-11,4053862.15105957,2952705.20621491,324
2295,2024-12-11,4014803.1668326,2979560.42093574,324
1680,2024-12-12,4031357.75999157,2964291.13319012,325
2014,2024-12-12,3984976.93688501,2961084.16294344,325
1583,2024-12-13,3979322.82663676,2933717.07231032,326
1763,2024-12-14,4016208.74926785,2951977.82480114,327
1497,2024-12-15,4019737.78557917,2977537.63354763,328
1547,2024-12-15,4031553.46979237,2954309.7517118,328
1655,2024-12-15,3985663.50487239,2939772.60141862,328
1687,2024-12-15,3995182.16983063,2968908.74010517,328
1787,2024-12-15,3992374.65356514,2949774.58696794,328
1939,2024-12-16,4034723.13020183,2956109.43463929,329
2279,2024-12-16,3996269.07637258,2971807.73724646,329
1551,2024-12-17,4039705.38827898,2958039.9052215,330
1688,2024-12-17,3984025.39951858,2960333.11294954,330
1756,2024-12-17,4016788.55064447,2979065.76851197,330
